# dgg/dPsi( Psi ) for freegsnke MAST-U forward (example02)
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS
# and 1 on the boundary, and MEQ's is the other way up.
#
# The value column is d/dPsi and carries ( psi_ax - psi_bnd )
# from the chain rule; see this generator's header for the
# measurement that settled it.
#
#        Psi                     d/dPsi                   d2/dPsi2
   +0.560000   +2.643084119280670e-02   +3.835085692358287e-02
   +0.570000   +2.681132697969183e-02   +3.774175901860244e-02
   +0.580000   +2.718567637317875e-02   +3.712361849213730e-02
   +0.590000   +2.755379934953458e-02   +3.649650998478915e-02
   +0.600000   +2.791560657287454e-02   +3.586049644563571e-02
   +0.610000   +2.827100927844729e-02   +3.521562913502918e-02
   +0.620000   +2.861991915557512e-02   +3.456194755141273e-02
   +0.630000   +2.896224822947555e-02   +3.389947927878700e-02
   +0.640000   +2.929790874115086e-02   +3.322823975009181e-02
   +0.650000   +2.962681302447738e-02   +3.254823192024325e-02
   +0.660000   +2.994887337955573e-02   +3.185944584081501e-02
   +0.670000   +3.026400194129368e-02   +3.116185812626937e-02
   +0.680000   +3.057211054208111e-02   +3.045543129921913e-02
   +0.690000   +3.087311056727806e-02   +2.974011299925428e-02
   +0.700000   +3.116691280206620e-02   +2.901583503628591e-02
   +0.710000   +3.145342726800378e-02   +2.828251226499545e-02
   +0.720000   +3.173256304736611e-02   +2.754004125151677e-02
   +0.730000   +3.200422809303412e-02   +2.678829869667454e-02
   +0.740000   +3.226832902129960e-02   +2.602713957149239e-02
   +0.750000   +3.252477088446396e-02   +2.525639490970466e-02
   +0.760000   +3.277345691949370e-02   +2.447586918785016e-02
   +0.770000   +3.301428826822097e-02   +2.368533720509491e-02
   +0.780000   +3.324716366359559e-02   +2.288454035073584e-02
   +0.790000   +3.347197907523568e-02   +2.207318211506526e-02
   +0.800000   +3.368862730589690e-02   +2.125092265586948e-02
   +0.810000   +3.389699752835307e-02   +2.041737217358053e-02
   +0.820000   +3.409697474936850e-02   +1.957208276601197e-02
   +0.830000   +3.428843918367332e-02   +1.871453831821546e-02
   +0.840000   +3.447126551573281e-02   +1.784414181774574e-02
   +0.850000   +3.464532202002824e-02   +1.696019924457803e-02
   +0.860000   +3.481046950062437e-02   +1.606189882557740e-02
   +0.870000   +3.496655999653978e-02   +1.514828389465483e-02
   +0.880000   +3.511343517851747e-02   +1.421821673859114e-02
   +0.890000   +3.525092433131161e-02   +1.327032941432438e-02
   +0.900000   +3.537884176680395e-02   +1.230295518351099e-02
   +0.910000   +3.549698343498182e-02   +1.131403011395760e-02
   +0.920000   +3.560512236908311e-02   +1.030094685897520e-02
   +0.930000   +3.570300237216133e-02   +9.260327886204900e-03
   +0.940000   +3.579032892680720e-02   +8.187654361404340e-03
   +0.950000   +3.586675545938942e-02   +7.076614806354797e-03
   +0.960000   +3.593186122293430e-02   +5.917847354932171e-03
   +0.970000   +3.598511240648806e-02   +4.696144478448128e-03
   +0.980000   +3.602578411250326e-02   +3.382576119342451e-03
   +0.990000   +3.605276392887491e-02   +1.892503685198665e-03
   +1.000000   +3.606363418620723e-02   +1.087025733232521e-03
