# dp/dPsi( Psi ) for freegsnke MAST-U forward (example02)
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS
# and 1 on the boundary, and MEQ's is the other way up.
#
# The value column is d/dPsi and carries ( psi_ax - psi_bnd )
# from the chain rule; see this generator's header for the
# measurement that settled it.
#
#        Psi                     d/dPsi                   d2/dPsi2
   +0.560000   +9.668247495253690e+03   +1.402851970118814e+04
   +0.570000   +9.807426976118377e+03   +1.380571524138190e+04
   +0.580000   +9.944361800081328e+03   +1.357960304339620e+04
   +0.590000   +1.007901903698630e+04   +1.335021041032823e+04
   +0.600000   +1.021136600828789e+04   +1.311756036858307e+04
   +0.610000   +1.034137024435796e+04   +1.288167166889826e+04
   +0.620000   +1.046899944166586e+04   +1.264255875957431e+04
   +0.630000   +1.059422141954945e+04   +1.240023173067742e+04
   +0.640000   +1.071700407627941e+04   +1.215469622748694e+04
   +0.650000   +1.083731534409919e+04   +1.190595333089412e+04
   +0.660000   +1.095512314289729e+04   +1.165399940182210e+04
   +0.670000   +1.107039533213563e+04   +1.139882588597853e+04
   +0.680000   +1.118309966061686e+04   +1.114041907435341e+04
   +0.690000   +1.129320371362270e+04   +1.087875981381384e+04
   +0.700000   +1.140067485689314e+04   +1.061382316082378e+04
   +0.710000   +1.150548017683917e+04   +1.034557796972198e+04
   +0.720000   +1.160758641628758e+04   +1.007398640500428e+04
   +0.730000   +1.170695990493926e+04   +9.799003364551230e+03
   +0.740000   +1.180356648357860e+04   +9.520575797609519e+03
   +0.750000   +1.189737142089145e+04   +9.238641897305613e+03
   +0.760000   +1.198833932152471e+04   +8.953130142297479e+03
   +0.770000   +1.207643402373740e+04   +8.663958155433997e+03
   +0.780000   +1.216161848463339e+04   +8.371031338429311e+03
   +0.790000   +1.224385465050598e+04   +8.074241229762090e+03
   +0.800000   +1.232310330922864e+04   +7.773463517133729e+03
   +0.810000   +1.239932392084866e+04   +7.468555614136276e+03
   +0.820000   +1.247247442151136e+04   +7.159353680763277e+03
   +0.830000   +1.254251099446392e+04   +6.845668925178354e+03
   +0.840000   +1.260938780001493e+04   +6.527282963711652e+03
   +0.850000   +1.267305665373816e+04   +6.203941927887616e+03
   +0.860000   +1.273346663857268e+04   +5.875348875830299e+03
   +0.870000   +1.279056363125476e+04   +5.541153864665655e+03
   +0.880000   +1.284428971586599e+04   +5.200940725536435e+03
   +0.890000   +1.289458244576549e+04   +4.854209072852042e+03
   +0.900000   +1.294137389732303e+04   +4.500349223450874e+03
   +0.910000   +1.298458943023451e+04   +4.138606202978874e+03
   +0.920000   +1.302414602138261e+04   +3.768026259229751e+03
   +0.930000   +1.305994995541911e+04   +3.387373910573660e+03
   +0.940000   +1.309189349959408e+04   +2.994996193809900e+03
   +0.950000   +1.311984987929531e+04   +2.588584407031070e+03
   +0.960000   +1.314366518773470e+04   +2.164714034231845e+03
   +0.970000   +1.316314415997994e+04   +1.717822250147001e+03
   +0.980000   +1.317802163273764e+04   +1.237326608516625e+03
   +0.990000   +1.318789069215027e+04   +6.922668060659198e+02
   +1.000000   +1.319186696885896e+04   +3.976276708688598e+02
